Industry,Startup_Age,Funding_Amount,Number_of_Founders,Founder_Experience,Employees_Count,Revenue,Burn_Rate,Market_Size,Business_Model,Product_Uniqueness_Score,Customer_Retention_Rate,Marketing_Expense,failed
0,13.0,7242014.0,2.0,23.0,800.0,109260472.33129944,40824304.4678759,0,0,7.0,30.0,500000.0,1.0
4,4.0,18658253.0,4.0,6.0,397.0,50785569.45455876,500000.0,1,0,4.0,54.13531668968473,500000.0,0.0
7,14.0,25924085.0,1.0,28.0,19.0,42241224.94856731,3742675.9570951164,0,1,4.0,30.0,500000.0,1.0
3,6.0,42919305.0,1.0,21.0,351.0,98461163.21589158,76785126.84656395,0,0,7.0,93.42727339365707,12610243.320583194,1.0
4,8.0,30822454.0,1.0,10.0,518.0,49230580.41773117,29787539.222375076,2,1,3.0,63.85413807337918,24440050.732909083,0.0
6,5.0,34604583.0,3.0,2.0,516.0,56347730.65166079,39304001.53081187,2,1,4.0,53.60881262255559,7309660.255923501,0.0
6,9.0,17236689.0,1.0,22.0,315.0,25807173.99830216,500000.0,1,0,1.0,95.52582422874583,1793126.1227421572,1.0
3,2.0,11603512.0,2.0,2.0,239.0,78026466.05996737,60612950.28031798,0,1,4.0,54.12595396568386,35979668.92072852,0.0
3,1.0,8185180.0,4.0,5.0,261.0,36124859.831408985,64596701.503042854,0,0,2.0,67.5159319454905,500000.0,0.0
0,12.0,34837937.0,4.0,10.0,735.0,86109373.55345891,32795502.677784573,2,2,1.0,69.25302037177357,500000.0,1.0
7,10.0,42947980.0,3.0,10.0,700.0,9314029.024099045,500000.0,2,0,2.0,37.56340253206531,6783073.649663212,1.0
3,2.0,17694935.0,4.0,9.0,599.0,11751604.712234048,70539793.49193323,2,0,6.0,60.243207181797615,500000.0,0.0
6,9.0,17585982.0,1.0,7.0,556.0,77886874.4667068,54864114.81224399,0,1,7.0,40.43368873445827,37710165.818439774,0.0
6,7.0,44062323.0,4.0,20.0,512.0,82166236.96563426,500000.0,0,1,5.0,30.0,62969085.839671165,1.0
3,5.0,22642128.0,4.0,5.0,410.0,26974157.75956488,30888169.631146908,2,0,1.0,64.47800659470519,11544461.143599328,0.0
6,2.0,27200296.0,4.0,4.0,322.0,64953266.13582598,500000.0,0,0,6.0,38.7044959945624,13691708.362854155,0.0
7,5.0,42819209.0,1.0,5.0,37.0,43554413.80354672,144544102.15321577,1,1,4.0,30.0,500000.0,1.0
7,4.0,33144598.0,1.0,5.0,459.0,44203953.76728656,8042107.547674004,0,0,7.0,76.02112493289256,9240248.076230923,0.0
7,5.0,9661351.0,1.0,10.0,349.0,48836222.32073959,63361477.20138619,1,1,2.0,58.58593459006114,11106540.94093922,0.0
6,9.0,25830240.0,4.0,5.0,544.0,37141231.98044064,64237341.187432505,0,0,4.0,38.06815402429891,21998379.163829632,0.0
1,7.0,45210612.0,2.0,16.0,71.0,38477996.90388913,26647133.83539803,1,1,2.0,77.1048920134495,4703392.879603452,1.0
6,5.0,20320466.0,1.0,11.0,101.0,10152969.49813794,78638422.87049946,1,0,2.0,72.423940088996,6006577.539594113,0.0
6,10.0,49971252.0,2.0,22.0,625.0,64855758.07901858,12721183.759532634,2,1,7.0,55.94544742982748,1890199.5415702201,1.0
7,9.0,16444816.0,4.0,1.0,39.0,93248609.1760898,500000.0,1,1,5.0,63.10174854967384,44207009.705989026,0.0
6,6.0,12258447.0,4.0,7.0,46.0,19584208.62171904,130939642.30843407,0,1,7.0,37.5509425201605,80143202.99744228,0.0
4,1.0,11897502.0,1.0,7.0,74.0,58445799.93067375,26712540.508123603,1,0,1.0,34.39826730386682,47542456.04714579,0.0
7,4.0,17064329.0,2.0,7.0,774.0,14986931.985826788,7900020.540250786,0,1,5.0,50.16620009675418,12698956.481888115,0.0
4,8.0,19091746.0,4.0,9.0,75.0,96050784.76970844,42755016.01620419,1,1,1.0,32.937499564015766,30530172.797803547,0.0
1,13.0,10666588.0,1.0,2.0,865.0,3874461.097449129,500000.0,0,2,5.0,78.90426418193796,500000.0,1.0
1,5.0,19435653.0,4.0,14.0,234.0,77956563.64243022,48468443.31937319,1,1,9.0,30.0,500000.0,1.0
6,1.0,18667864.0,3.0,2.0,180.0,20169358.41351198,2599323.4098063773,0,1,2.0,54.85119692508827,500000.0,0.0
7,8.0,29402632.0,3.0,10.0,230.0,10121754.955958964,500000.0,1,1,7.0,33.3546067004702,500000.0,0.0
3,3.0,3451550.0,3.0,8.0,15.0,37114207.80019642,58302153.874839544,2,1,3.0,79.84288661107128,78818897.1311567,0.0
3,0.0,26966904.0,4.0,0.0,57.0,27049871.320137184,500000.0,1,2,4.0,68.94174051845953,500000.0,1.0
7,9.0,22946027.0,3.0,7.0,766.0,8940640.227289682,500000.0,1,1,7.0,90.20122455617074,44824961.54261576,0.0
6,8.0,30441143.0,1.0,7.0,325.0,21019580.05305444,500000.0,2,1,6.0,76.41932668621612,500000.0,0.0
4,3.0,29906038.0,1.0,7.0,268.0,2629313.5910655777,45976189.83784327,0,1,3.0,36.49315686649322,29900790.30090753,0.0
4,9.0,17810950.0,2.0,1.0,402.0,44736297.51485461,500000.0,1,0,1.0,69.97963756850152,74133968.85210592,0.0
3,5.0,4678308.0,1.0,10.0,234.0,76914302.30436906,500000.0,2,0,9.0,43.34277526888634,15635946.807238162,1.0
1,14.0,7980124.0,1.0,19.0,140.0,315268.730458996,104833282.68735537,0,2,1.0,53.74371941907897,500000.0,1.0
3,8.0,37555190.0,1.0,11.0,22.0,44404383.226754114,171532832.58956206,2,1,5.0,87.1987838977188,24106898.783693835,0.0
3,3.0,3378772.0,3.0,4.0,432.0,81935692.5811005,500000.0,2,1,3.0,46.37285745475191,58118807.58590022,0.0
6,8.0,15432253.0,3.0,26.0,545.0,78036680.47644053,500000.0,2,1,6.0,63.30775529491893,500000.0,1.0
0,11.0,9108576.0,3.0,12.0,758.0,77395078.89541751,500000.0,2,2,2.0,69.41029416534926,500000.0,1.0
6,9.0,4093348.0,4.0,8.0,334.0,5189469.821696907,23725082.64918316,2,0,2.0,34.831239044770726,2939147.1215947587,0.0
2,2.0,43211269.0,3.0,10.0,293.0,108703061.0406221,75545506.06576559,1,2,3.0,30.0,500000.0,1.0
3,7.0,3544306.0,1.0,2.0,391.0,2256835.042612854,500000.0,1,0,4.0,72.65684828515093,500000.0,0.0
4,3.0,7474467.0,4.0,2.0,124.0,28977336.23666854,1266379.312231835,2,0,7.0,70.39470614648961,13930532.20959897,0.0
0,2.0,45563764.0,4.0,2.0,99.0,22241294.92680404,23453879.864730246,0,1,4.0,87.28671660662391,500000.0,1.0
6,3.0,34970306.0,1.0,4.0,372.0,17682032.1729157,500000.0,0,1,2.0,72.64111870678252,12448506.918179905,0.0
0,11.0,45574347.0,1.0,3.0,840.0,79461918.72309637,5942882.261287296,2,0,3.0,36.23941036357962,15026223.614192937,1.0
4,7.0,36346795.0,4.0,2.0,415.0,5631158.126345084,73942840.54134862,1,0,1.0,38.72360513590039,4847300.915052404,0.0
6,3.0,46869535.0,1.0,22.0,307.0,33885670.518739544,500000.0,1,2,3.0,91.66725240153464,30265204.408204988,1.0
4,2.0,1702726.0,2.0,8.0,752.0,4411222.21775008,6185389.011371777,0,0,1.0,65.75416739951241,50464530.368706286,0.0
5,7.0,41590693.0,1.0,15.0,104.0,21017076.98693321,500000.0,0,0,3.0,30.0,500000.0,1.0
7,14.0,17860268.0,1.0,11.0,532.0,71637686.71424833,500000.0,0,0,4.0,81.7310450571238,500000.0,1.0
0,7.0,6540152.0,4.0,27.0,588.0,5448592.769552494,8095442.5740104,2,2,9.0,45.03932840977956,13279668.728811454,1.0
2,10.0,38018062.0,4.0,4.0,850.0,51329480.4051126,500000.0,2,0,2.0,30.0,500000.0,1.0
6,8.0,38632572.0,3.0,5.0,463.0,38271615.81331831,39136413.886318006,0,1,1.0,45.20134178200436,21797272.19745794,0.0
7,3.0,11797629.0,3.0,7.0,467.0,53633939.9300004,65761713.70072485,1,0,3.0,80.79429139794003,25779446.544718295,0.0
1,12.0,34689049.0,3.0,0.0,750.0,36922088.9522106,10470635.073701259,0,2,8.0,30.0,500000.0,1.0
7,3.0,42928721.0,1.0,1.0,681.0,41470719.86552938,4918582.7768255025,1,1,1.0,30.0,723168.829044313,1.0
3,7.0,16110487.0,4.0,3.0,756.0,10186585.489269646,154784309.96015674,1,0,1.0,51.534083340805694,60844791.859770164,0.0
7,3.0,11052700.0,1.0,4.0,635.0,71334177.56926419,41455445.24895543,1,0,6.0,68.43829552730949,21132740.811427474,0.0
3,1.0,20329408.0,4.0,3.0,618.0,76623066.9918243,74340769.52010679,0,1,4.0,82.65484111314376,38685569.232419044,0.0
3,1.0,4895090.0,1.0,3.0,572.0,72537319.1258562,69828859.2083149,1,0,2.0,56.55242306668149,26281685.779173683,0.0
3,0.0,30969152.0,2.0,28.0,179.0,64993467.38285895,84634558.28471944,2,1,3.0,51.758528250962456,19277422.508435152,1.0
4,2.0,31102447.0,4.0,3.0,202.0,43011261.21106484,37919022.91825995,1,0,1.0,59.83607222193726,77010116.99313743,0.0
3,1.0,9671734.0,1.0,4.0,551.0,5536469.415372181,94277743.22588353,1,0,7.0,54.98824932788088,35277706.621847846,0.0
4,1.0,22915933.0,4.0,9.0,529.0,34144750.35341991,86252064.57628953,2,1,5.0,59.676225586408265,1413896.0274223178,0.0
1,8.0,40646891.0,3.0,25.0,956.0,32262822.21656378,33309342.61234239,1,0,8.0,34.33241107926145,12363953.418769643,1.0
4,3.0,22948964.0,4.0,7.0,490.0,49943510.52882914,15242986.408715662,0,0,1.0,53.27046582684932,500000.0,0.0
2,6.0,49802223.0,4.0,19.0,584.0,74996019.68128972,500000.0,0,1,2.0,33.28064578220872,500000.0,1.0
7,9.0,5921207.0,1.0,9.0,250.0,59438509.39564441,500000.0,2,1,6.0,41.667350715084375,39116572.60882481,0.0
7,14.0,19260531.0,4.0,8.0,145.0,58615085.206560165,500000.0,0,1,9.0,30.0,500000.0,1.0
6,4.0,2359880.0,4.0,29.0,811.0,37115727.31363614,7405103.8354863785,1,2,5.0,30.0,27858121.77486481,1.0
7,7.0,27333890.0,4.0,12.0,570.0,64706866.10156152,1403773.2322641117,2,0,3.0,72.39254651595309,13742531.730386192,1.0
7,6.0,47033470.0,1.0,4.0,386.0,53414343.04131931,500000.0,0,0,6.0,30.0,34742567.50458384,1.0
4,7.0,33216367.0,3.0,5.0,258.0,19094692.49724585,134471753.00007147,1,1,5.0,33.73513619892516,60954353.30148585,0.0
2,14.0,19217792.0,2.0,1.0,200.0,111624069.04088236,500000.0,0,2,8.0,30.0,8729928.150410818,1.0
4,9.0,8562635.0,3.0,5.0,58.0,59157384.89243818,33877491.61087244,0,1,2.0,26.53099571640136,7638517.345101568,0.0
4,3.0,16434272.0,2.0,6.0,194.0,29358122.841351584,142382544.10363102,1,1,5.0,70.69539205734077,500000.0,0.0
4,3.0,33317460.0,4.0,9.0,452.0,63356737.11025188,39872241.08536863,0,1,4.0,41.04156179935196,26064323.270076044,0.0
6,5.0,20062771.0,1.0,16.0,47.0,94911361.12301658,22582326.12930349,0,2,6.0,61.88318602729059,14325164.589115426,1.0
3,9.0,22098829.0,2.0,6.0,76.0,81040824.30592443,13686578.071954206,0,0,5.0,51.15355976860782,22680718.26034156,0.0
0,11.0,22665014.0,3.0,18.0,183.0,104662060.63460968,500000.0,1,2,2.0,30.0,5715205.596735321,1.0
5,1.0,18885177.0,3.0,1.0,608.0,28611304.965169605,10712174.943378069,0,2,8.0,30.0,1713681.2498978488,1.0
1,1.0,2423913.0,4.0,14.0,964.0,51742687.17510087,26081216.993024927,2,1,2.0,30.0,9244048.996455569,1.0
2,9.0,39849123.0,4.0,13.0,56.0,54627100.46032718,7983799.094911236,2,2,6.0,32.83467228804622,15005543.543557364,1.0
3,2.0,11956096.0,2.0,4.0,698.0,28640177.829551205,94131578.42762871,2,1,6.0,67.11439673100956,10747427.321412526,0.0
4,9.0,5474445.0,1.0,10.0,275.0,6085308.5755564,500000.0,2,0,6.0,65.64505908224199,40230586.465997696,0.0
3,5.0,29604680.0,3.0,8.0,200.0,42408062.33808674,500000.0,2,1,7.0,65.5039783427728,500000.0,0.0
6,7.0,18533711.0,2.0,9.0,472.0,72642000.46815543,125602122.56696808,1,1,1.0,94.78029698631516,67094351.59447442,1.0
3,8.0,29143626.0,1.0,1.0,21.0,50304811.71011824,500000.0,1,0,4.0,36.96150101993933,32491352.31421511,0.0
4,9.0,6990266.0,2.0,1.0,234.0,11768096.054504937,43162292.767775014,2,0,2.0,45.87434321223482,17072811.09942327,0.0
2,3.0,44133659.0,1.0,22.0,564.0,12992616.438270316,29305677.770368747,2,0,7.0,30.0,500000.0,1.0
3,8.0,18363686.0,1.0,8.0,403.0,51223718.30420452,500000.0,0,0,5.0,80.62016795104162,15945933.498957368,0.0
1,5.0,22640772.0,1.0,12.0,698.0,42802349.54710338,47152831.60363996,1,1,1.0,40.64081961954359,7466860.95730209,1.0
6,6.0,8735491.0,1.0,8.0,370.0,100220079.85928324,112585504.33255213,1,0,1.0,31.92860857844091,500000.0,0.0
3,14.0,48275999.0,1.0,12.0,457.0,25917676.58286201,500000.0,0,2,1.0,42.93232455274718,500000.0,1.0
7,0.0,12638084.0,3.0,19.0,37.0,80569062.89705151,500000.0,1,0,6.0,33.09755219363937,61702406.51635757,1.0
4,4.0,39309327.0,2.0,8.0,613.0,65115477.973751925,54207136.31818284,0,1,7.0,44.78951839410422,11116523.859965242,0.0
3,13.0,13140232.0,1.0,18.0,904.0,21796857.44489771,500000.0,0,2,1.0,46.74210390674287,500000.0,1.0
3,14.0,5170535.0,3.0,29.0,851.0,72421414.04316881,500000.0,0,1,5.0,34.241903836575176,2573645.253646277,1.0
6,4.0,16614446.0,4.0,4.0,230.0,55419759.83919779,500000.0,2,1,2.0,80.1299606449422,78958287.1620599,0.0
1,2.0,22012837.0,4.0,18.0,673.0,32271244.632131144,55203868.43029956,1,1,2.0,30.0,5927807.384330867,1.0
2,8.0,33672032.0,1.0,8.0,620.0,46791445.1564166,6523230.078425409,0,2,6.0,96.33859305580698,13976246.37474905,1.0
1,7.0,26675422.0,1.0,1.0,251.0,27421165.068407927,500000.0,2,2,8.0,92.342063508996,34594889.25625961,1.0
6,7.0,39150204.0,2.0,3.0,660.0,39468584.19562974,49461890.475275606,1,1,7.0,63.07436589139325,500000.0,0.0
2,0.0,32228153.0,1.0,14.0,269.0,5708561.341548692,500000.0,0,2,1.0,30.0,500000.0,1.0
6,13.0,33739624.0,2.0,20.0,183.0,17241754.19375044,93689528.69172001,0,0,8.0,58.618505335957934,68851309.28748184,1.0
6,8.0,9325344.0,1.0,11.0,420.0,39938434.469422445,30781811.986776013,1,1,7.0,76.18328649040848,52575318.70269711,0.0
4,3.0,27905373.0,1.0,5.0,732.0,81659351.88911992,89974786.14336944,0,0,3.0,67.86195535307962,27247445.385366365,0.0
2,1.0,29168999.0,4.0,27.0,979.0,12364714.636241952,500000.0,1,1,8.0,88.85432861738315,41341797.08226237,1.0
3,4.0,21926874.0,4.0,5.0,195.0,63623495.80135513,29102996.36922553,1,1,5.0,63.99823724675505,3004736.128199328,0.0
5,6.0,27097414.0,1.0,8.0,601.0,33456727.609844647,29208857.42874989,0,2,5.0,30.826553894287827,500000.0,1.0
7,8.0,4691848.0,3.0,3.0,87.0,32668718.328230377,75848312.5643864,2,0,1.0,70.01437512965178,29815809.67459305,0.0
3,9.0,17576973.0,1.0,5.0,262.0,41271852.68748066,29457700.453180183,2,0,7.0,81.2251075668174,500000.0,0.0
5,13.0,15478785.0,3.0,24.0,321.0,42872560.50588446,23752669.461832672,1,2,1.0,30.0,67106057.09739703,1.0
3,4.0,18812427.0,1.0,1.0,447.0,18322381.92671559,500000.0,0,0,1.0,32.48895284321407,500000.0,0.0
0,6.0,8189450.0,3.0,1.0,1.0,29107802.33410909,44376856.88553037,0,0,1.0,34.83676062236995,4690146.567609574,1.0
6,8.0,34564663.0,4.0,14.0,289.0,42185721.45028571,161120556.4020555,0,1,7.0,89.16491235134141,500000.0,1.0
7,5.0,14018325.0,3.0,3.0,31.0,5310496.439233385,40041439.0039418,1,0,1.0,39.17075263542931,40189591.72532619,0.0
1,0.0,19716284.0,3.0,4.0,369.0,87744126.21816455,31832628.729379583,2,0,9.0,30.0,8205780.737608657,1.0
0,4.0,22852035.0,2.0,28.0,921.0,29748341.274912387,173840274.71765453,2,1,8.0,30.0,500000.0,1.0
7,5.0,30329957.0,4.0,1.0,219.0,60174876.82358468,75315596.14767453,0,1,1.0,54.951825692420215,14354707.482534267,0.0
3,9.0,24465520.0,3.0,4.0,435.0,34823355.62157761,53286570.75161043,1,1,2.0,60.31760361180192,29003544.64946743,0.0
5,14.0,47425683.0,1.0,2.0,515.0,27848613.79652233,6595983.716695387,2,1,4.0,89.21858087946615,18577330.599579904,1.0
7,6.0,14890893.0,2.0,7.0,455.0,44108814.91253983,44828916.71979396,0,0,2.0,83.78441113604734,33445838.76159796,0.0
4,8.0,5538847.0,1.0,3.0,528.0,7663397.418771566,500000.0,0,1,5.0,71.01667396567979,500000.0,0.0
0,14.0,40078496.0,1.0,10.0,783.0,50677408.66289938,2783913.709605392,1,1,2.0,30.0,7262597.912895253,1.0
7,8.0,13317876.0,1.0,5.0,721.0,11984420.987636888,20099676.573493652,1,1,6.0,47.70919243277546,500000.0,0.0
5,11.0,33794870.0,2.0,12.0,771.0,95619255.48450466,500000.0,1,0,2.0,60.414549382706376,12886980.447784372,1.0
1,1.0,23390693.0,4.0,28.0,62.0,14531885.2896061,13228208.982978947,2,1,4.0,38.49701885928533,500000.0,1.0
3,7.0,31258064.0,2.0,6.0,756.0,54706810.91647907,500000.0,2,0,1.0,78.66789189641837,15190051.621958569,0.0
5,14.0,29546218.0,4.0,5.0,473.0,2351809.1982871257,13027594.998373564,0,2,1.0,76.53358736355729,500000.0,1.0
2,2.0,8321803.0,3.0,3.0,133.0,11541791.124592649,500000.0,0,2,6.0,100.0,500000.0,1.0
5,5.0,43736771.0,1.0,25.0,801.0,25045370.210816912,35184968.91515836,2,1,1.0,76.16164307598886,500000.0,1.0
4,1.0,19797364.0,1.0,3.0,33.0,10383922.76669935,45235166.85354538,0,1,6.0,35.67303438601679,25108763.019417856,0.0
6,6.0,40034081.0,1.0,23.0,112.0,74842779.66621943,66343086.75294992,2,1,3.0,30.0,500000.0,1.0
7,1.0,44934371.0,2.0,7.0,711.0,70548020.25612222,500000.0,1,1,8.0,68.63867827814774,12430140.520760398,1.0
6,5.0,4858863.0,2.0,7.0,645.0,74928123.5877551,5376549.600184034,2,2,7.0,30.0,500000.0,1.0
3,1.0,10788041.0,4.0,4.0,405.0,51522096.31251361,34085824.281776,1,1,4.0,31.6300507026607,21093280.179114077,0.0
3,1.0,33447283.0,2.0,2.0,208.0,8252283.750737653,500000.0,1,0,5.0,64.46996001769398,1293860.4313146472,0.0
3,3.0,45940958.0,1.0,3.0,856.0,24553766.010006737,4269706.156159043,0,2,9.0,30.0,26156470.956886142,1.0
0,6.0,24962796.0,4.0,28.0,920.0,13182634.751714516,6332334.834204158,0,1,5.0,63.5965918162745,3646695.9525101385,1.0
1,8.0,40538796.0,4.0,22.0,29.0,64261126.91067809,52689497.31080289,0,1,6.0,55.00084977252988,500000.0,1.0
5,7.0,34386668.0,2.0,18.0,484.0,105233970.1617284,124663590.82742265,0,1,3.0,51.5100542212944,2514326.3982653543,1.0
7,2.0,30439292.0,1.0,9.0,261.0,54756231.526195735,500000.0,0,1,6.0,72.6014416113946,500000.0,0.0
6,4.0,3796175.0,1.0,4.0,528.0,34650901.74695819,500000.0,2,1,4.0,84.73028698228259,16214897.39640268,0.0
7,6.0,23973735.0,2.0,8.0,789.0,62576834.57625692,500000.0,0,0,3.0,81.44932664767512,33878583.77428219,0.0
3,8.0,6302750.0,3.0,21.0,299.0,54048974.06680029,38727039.56077475,2,0,4.0,30.0,5169982.723347821,1.0
7,5.0,2195896.0,2.0,16.0,424.0,25858728.627709266,500000.0,0,0,1.0,85.85893652552744,500000.0,1.0
5,7.0,47633468.0,4.0,18.0,968.0,73088074.27594651,500000.0,2,0,3.0,30.0,4312542.598304666,1.0
3,6.0,30354523.0,1.0,11.0,203.0,48324050.667968206,20542029.352433167,1,0,7.0,48.01445362426631,9271047.415483102,0.0
6,7.0,32519028.0,3.0,3.0,380.0,46212125.58636422,32018650.69268478,2,1,6.0,71.1851647797742,31856540.040738333,0.0
6,5.0,30919038.0,4.0,9.0,793.0,31756435.206948783,42827459.30709048,1,0,4.0,34.15905554854603,10146289.840800684,0.0
4,8.0,13779593.0,4.0,9.0,14.0,2375997.465377532,18645611.511174254,1,0,1.0,39.34850921004812,38939467.39498655,0.0
6,2.0,37509659.0,3.0,9.0,432.0,19159800.21678756,500000.0,1,0,4.0,50.60859279308868,500000.0,0.0
7,5.0,47571919.0,3.0,27.0,366.0,65288508.32623403,18373535.66594182,2,0,2.0,96.71286830961633,500000.0,1.0
5,3.0,33486868.0,4.0,19.0,416.0,64204488.53508261,6546213.145507578,1,1,9.0,61.5957712402402,30899689.118529424,1.0
6,6.0,25662982.0,4.0,8.0,671.0,19870240.465500247,54407386.05044926,0,0,1.0,71.8711006540998,30925723.389314193,0.0
3,5.0,26548429.0,3.0,10.0,335.0,53202796.98583123,1675099.1414121247,0,0,4.0,56.82572770734127,15193559.20740257,0.0
0,3.0,11050623.0,3.0,1.0,390.0,87461920.44431366,15462936.946380144,0,2,7.0,65.47978023873924,500000.0,1.0
6,11.0,42261196.0,3.0,9.0,250.0,52497759.3970864,500000.0,1,0,1.0,30.0,4849355.898616274,1.0
4,8.0,9904337.0,3.0,6.0,567.0,37398545.79285226,500000.0,0,0,5.0,68.18438835852324,500000.0,0.0
1,5.0,26162376.0,1.0,26.0,673.0,29708584.87734863,54776003.161703326,1,0,7.0,51.23854937127098,25404692.711728584,1.0
3,1.0,2171758.0,1.0,3.0,336.0,9384288.425002966,49344364.350699775,1,0,5.0,45.254649490498224,26939436.47874209,0.0
3,5.0,49214250.0,1.0,19.0,756.0,42769192.64211662,27719033.13738802,0,0,8.0,72.83761074992125,500000.0,1.0
1,9.0,38668737.0,4.0,7.0,815.0,80718755.61660399,35542938.19775067,1,2,6.0,64.1329838201656,500000.0,1.0
7,6.0,28277564.0,1.0,5.0,406.0,9713891.529989734,500000.0,1,0,2.0,57.820934528254966,500000.0,0.0
